subid,list,trialnum,word,pic1,pic2,trialtype,pic1type,pic2type,sidechosen,response,correct,datetesting,time,reaction rt,itemnum
141204-04-sc,1,13,bert_bicycle,bert_car,bert_bicycle,control_single,distractor,target,R,bert_bicycle,Y,12/4/14,9:40,1486,2vs2
141204-04-sc,1,14,bert_carrot,bert_banana,bert_carrot,inference,distractor,target,R,bert_carrot,Y,12/4/14,9:40,743,2vs1
141204-04-sc,1,15,ernie_car,ernie_car,ernie_bicycle,control_single,target,distractor,L,ernie_car,Y,12/4/14,9:40,4623,1vs1
141204-04-sc,1,16,grover_orange,grover_apple,grover_orange,control_double,distractor,target,R,grover_orange,Y,12/4/14,9:40,911,2vs1
141204-05-sc,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,R,practice1_lion,Y,12/4/14,10:07,1755,NA
141204-05-sc,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,12/4/14,10:07,1489,NA
141204-05-sc,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,12/4/14,10:07,2600,2vs2
141204-05-sc,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,12/4/14,10:07,4792,2vs1
141204-05-sc,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,12/4/14,10:07,1622,3vs1
141204-05-sc,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,12/4/14,10:07,1556,2vs2
141204-05-sc,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,12/4/14,10:07,1954,2vs1
141204-05-sc,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,12/4/14,10:07,2265,2vs2
141204-05-sc,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,12/4/14,10:07,1046,2vs2
141204-05-sc,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,12/4/14,10:07,1931,2vs1
141204-05-sc,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,12/4/14,10:07,2060,3vs1
141204-05-sc,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,12/4/14,10:07,2062,1vs1
141204-05-sc,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,R,bert_truck2,Y,12/4/14,10:07,1795,1vs1
141204-05-sc,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,12/4/14,10:07,2021,3vs1
141204-05-sc,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,12/4/14,10:07,2090,1vs1
141204-05-sc,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,12/4/14,10:07,1793,2vs1
141204-06-sc,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,R,practice1_lion,Y,12/4/14,10:15,1712,NA
141204-06-sc,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,12/4/14,10:15,2780,NA
141204-06-sc,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,12/4/14,10:15,2140,2vs2
141204-06-sc,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,12/4/14,10:15,2575,2vs1
141204-06-sc,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,12/4/14,10:15,5626,3vs1
141204-06-sc,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,12/4/14,10:15,1886,2vs2
141204-06-sc,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,12/4/14,10:15,2644,2vs1
141204-06-sc,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,12/4/14,10:15,2080,2vs2
141204-06-sc,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,12/4/14,10:15,3306,2vs2
141204-06-sc,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,12/4/14,10:15,2096,2vs1
141204-06-sc,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,12/4/14,10:15,4955,3vs1
141204-06-sc,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,12/4/14,10:15,1585,1vs1
141204-06-sc,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,R,bert_truck2,Y,12/4/14,10:15,2372,1vs1
141204-06-sc,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,12/4/14,10:15,2193,3vs1
141204-06-sc,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,12/4/14,10:15,2316,1vs1
141204-06-sc,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,12/4/14,10:15,3369,2vs1
141209-01-sc,1,1,practice1_cow,practice1_cow,practice1_lion,practice,target,distractor,L,practice1_cow,Y,12/9/14,1:22,3394,NA
141209-01-sc,1,2,practice2_monkey,practice2_rabbit,practice2_monkey,practice,distractor,target,R,practice2_monkey,Y,12/9/14,1:22,2000,NA
141209-01-sc,1,3,elmo_teddybear,elmo_flower,elmo_teddybear,control_single,distractor,target,R,elmo_teddybear,Y,12/9/14,1:22,1560,2vs2
141209-01-sc,1,4,elmo_apple,elmo_apple,elmo_orange,inference,target,distractor,L,elmo_apple,Y,12/9/14,1:22,1801,3vs1
141209-01-sc,1,5,grover_dog,grover_cat,grover_dog,control_double,distractor,target,R,grover_dog,Y,12/9/14,1:22,2989,3vs1
141209-01-sc,1,6,elmo_banana,elmo_banana,elmo_carrot,control_single,target,distractor,L,elmo_banana,Y,12/9/14,1:22,1755,1vs1
141209-01-sc,1,7,grover_car,grover_car,grover_bicycle,inference,target,distractor,L,grover_car,Y,12/9/14,1:22,5152,3vs1
141209-01-sc,1,8,ernie_orange,ernie_apple,ernie_orange,control_single,distractor,target,R,ernie_orange,Y,12/9/14,1:22,2071,1vs1
141209-01-sc,1,9,bert_cat,bert_cat,bert_dog,control_single,target,distractor,L,bert_cat,Y,12/9/14,1:22,1876,2vs2
141209-01-sc,1,10,bert_ball,bert_ball,bert_truck,control_double,target,distractor,L,bert_ball,Y,12/9/14,1:22,3940,2vs1
141209-01-sc,1,11,bert_flower,bert_flower,bert_teddybear,control_double,target,distractor,L,bert_flower,Y,12/9/14,1:22,1994,3vs1
141209-01-sc,1,12,elmo_truck,elmo_ball,elmo_truck,control_single,distractor,target,R,elmo_truck,Y,12/9/14,1:22,1405,1vs1
141209-01-sc,1,13,bert_bicycle,bert_car,bert_bicycle,control_single,distractor,target,R,bert_bicycle,Y,12/9/14,1:22,1432,2vs2
141209-01-sc,1,14,bert_carrot,bert_banana,bert_carrot,inference,distractor,target,R,bert_carrot,Y,12/9/14,1:22,1531,2vs1
141209-01-sc,1,15,ernie_car,ernie_car,ernie_bicycle,control_single,target,distractor,L,ernie_car,Y,12/9/14,1:22,2079,1vs1
141209-01-sc,1,16,grover_orange,grover_apple,grover_orange,control_double,distractor,target,R,grover_orange,Y,12/9/14,1:22,1904,2vs1
141209-01-sc,1,17,ernie_teddybear,ernie_flower,ernie_teddybear,inference,distractor,target,R,ernie_teddybear,Y,12/9/14,1:22,1747,2vs1
141209-01-sc,1,18,grover_ball,grover_ball,grover_truck,control_single,target,distractor,L,grover_ball,Y,12/9/14,1:22,2121,2vs2
141209-02-sc,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,R,practice1_lion,Y,12/9/14,8:57,8727,NA
141209-02-sc,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,12/9/14,8:57,1400,NA
141209-02-sc,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,12/9/14,8:57,2085,2vs2
141209-02-sc,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,12/9/14,8:57,2613,2vs1
141209-02-sc,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,12/9/14,8:57,1639,3vs1
141209-02-sc,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,12/9/14,8:57,1830,2vs2
141209-02-sc,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,12/9/14,8:57,2694,2vs1
141209-02-sc,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,12/9/14,8:57,2660,2vs2
141209-02-sc,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,12/9/14,8:57,1786,2vs2
141209-02-sc,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,12/9/14,8:57,1584,2vs1
141209-02-sc,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,12/9/14,8:57,2287,3vs1
141209-02-sc,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,12/9/14,8:57,1633,1vs1
141209-02-sc,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,L,bert_ball2,N,12/9/14,8:57,1627,1vs1
141209-02-sc,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,12/9/14,8:57,1543,3vs1
141209-02-sc,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,12/9/14,8:57,1863,1vs1
141209-02-sc,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,12/9/14,8:57,1941,2vs1
141209-02-sc,2,17,ernie_bicycle2,ernie_car2,ernie_bicycle2,inference,distractor,target,R,ernie_bicycle2,Y,12/9/14,8:57,1469,3vs1
141209-02-sc,2,18,elmo_apple2,elmo_apple2,elmo_orange2,control_single,target,distractor,L,elmo_apple2,Y,12/9/14,8:57,1170,1vs1
141209-03-sc,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,L,practice1_cow,N,12/9/14,9:12,2112,NA
141209-03-sc,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,12/9/14,9:12,1668,NA
141209-03-sc,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,12/9/14,9:12,2272,2vs2
141209-03-sc,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,12/9/14,9:12,2032,2vs1
141209-03-sc,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,12/9/14,9:12,2212,3vs1
141209-03-sc,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,12/9/14,9:12,1580,2vs2
141209-03-sc,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,12/9/14,9:12,2231,2vs1
141209-03-sc,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,12/9/14,9:12,2306,2vs2
141209-03-sc,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,12/9/14,9:12,1812,2vs2
141209-03-sc,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,12/9/14,9:12,1323,2vs1
141209-03-sc,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,12/9/14,9:12,1868,3vs1
141209-03-sc,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,12/9/14,9:12,1383,1vs1
141209-03-sc,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,R,bert_truck2,Y,12/9/14,9:12,2294,1vs1
141209-03-sc,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,12/9/14,9:12,3974,3vs1
141209-03-sc,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,12/9/14,9:12,1330,1vs1
141209-03-sc,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,12/9/14,9:12,2560,2vs1
141209-03-sc,2,17,ernie_bicycle2,ernie_car2,ernie_bicycle2,inference,distractor,target,R,ernie_bicycle2,Y,12/9/14,9:12,1929,3vs1
141209-03-sc,2,18,elmo_apple2,elmo_apple2,elmo_orange2,control_single,target,distractor,L,elmo_apple2,Y,12/9/14,9:12,1400,1vs1
141209-04-sc,1,1,practice1_cow,practice1_cow,practice1_lion,practice,target,distractor,L,practice1_cow,Y,12/4/14,9:00,2382,NA
141209-04-sc,1,2,practice2_monkey,practice2_rabbit,practice2_monkey,practice,distractor,target,R,practice2_monkey,Y,12/4/14,9:00,1536,NA
141209-04-sc,1,3,elmo_teddybear,elmo_flower,elmo_teddybear,control_single,distractor,target,R,elmo_teddybear,Y,12/4/14,9:00,2325,2vs2
141209-04-sc,1,4,elmo_apple,elmo_apple,elmo_orange,inference,target,distractor,L,elmo_apple,Y,12/4/14,9:00,1825,3vs1
141209-04-sc,1,5,grover_dog,grover_cat,grover_dog,control_double,distractor,target,R,grover_dog,Y,12/4/14,9:00,3153,3vs1
141209-04-sc,1,6,elmo_banana,elmo_banana,elmo_carrot,control_single,target,distractor,L,elmo_banana,Y,12/4/14,9:00,1545,1vs1
141209-04-sc,1,7,grover_car,grover_car,grover_bicycle,inference,target,distractor,L,grover_car,Y,12/4/14,9:00,1200,3vs1
141209-04-sc,1,8,ernie_orange,ernie_apple,ernie_orange,control_single,distractor,target,R,ernie_orange,Y,12/4/14,9:00,1522,1vs1
141209-04-sc,1,9,bert_cat,bert_cat,bert_dog,control_single,target,distractor,L,bert_cat,Y,12/4/14,9:00,1776,2vs2
141209-04-sc,1,10,bert_ball,bert_ball,bert_truck,control_double,target,distractor,L,bert_ball,Y,12/4/14,9:00,1602,2vs1
141209-04-sc,1,11,bert_flower,bert_flower,bert_teddybear,control_double,target,distractor,L,bert_flower,Y,12/4/14,9:00,1137,3vs1
141209-04-sc,1,12,elmo_truck,elmo_ball,elmo_truck,control_single,distractor,target,R,elmo_truck,Y,12/4/14,9:00,1416,1vs1
141209-04-sc,1,13,bert_bicycle,bert_car,bert_bicycle,control_single,distractor,target,R,bert_bicycle,Y,12/4/14,9:00,1521,2vs2
141209-04-sc,1,14,bert_carrot,bert_banana,bert_carrot,inference,distractor,target,R,bert_carrot,Y,12/4/14,9:00,1391,2vs1
141209-04-sc,1,15,ernie_car,ernie_car,ernie_bicycle,control_single,target,distractor,L,ernie_car,Y,12/4/14,9:00,1776,1vs1
141209-04-sc,1,16,grover_orange,grover_apple,grover_orange,control_double,distractor,target,R,grover_orange,Y,12/4/14,9:00,1323,2vs1
141209-05-sc,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,R,practice1_lion,Y,12/9/14,10:05,3078,NA
141209-05-sc,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,12/9/14,10:05,1640,NA
141209-05-sc,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,12/9/14,10:05,1456,2vs2
141209-05-sc,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,12/9/14,10:05,2145,2vs1
141209-05-sc,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,12/9/14,10:05,1577,3vs1
141209-05-sc,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,12/9/14,10:05,1519,2vs2
141209-05-sc,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,12/9/14,10:05,1782,2vs1
141209-05-sc,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,12/9/14,10:05,1350,2vs2
141209-05-sc,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,12/9/14,10:05,1509,2vs2
141209-05-sc,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,12/9/14,10:05,1898,2vs1
141209-05-sc,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,12/9/14,10:05,2229,3vs1
141209-05-sc,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,12/9/14,10:05,1540,1vs1
141209-05-sc,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,R,bert_truck2,Y,12/9/14,10:05,1252,1vs1
141209-05-sc,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,12/9/14,10:05,1563,3vs1
141209-05-sc,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,12/9/14,10:05,1681,1vs1
141209-05-sc,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,12/9/14,10:05,1500,2vs1
141209-05-sc,2,17,ernie_bicycle2,ernie_car2,ernie_bicycle2,inference,distractor,target,R,ernie_bicycle2,Y,12/9/14,10:05,1613,3vs1
141209-05-sc,2,18,elmo_apple2,elmo_apple2,elmo_orange2,control_single,target,distractor,L,elmo_apple2,Y,12/9/14,10:05,1835,1vs1
141209-06-sc,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,R,practice1_lion,Y,12/9/14,10:14,2414,NA
141209-06-sc,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,12/9/14,10:14,2215,NA
141209-06-sc,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,12/9/14,10:14,2286,2vs2
